distance_from_school (km),haversine_distance (km),latitudes,longitudes,names,price_levels,ratings,total_user_ratings,walking duration (hour),walking duration (mins)
4.1,2.9028333322755,34.1088152,-118.0179567,Lao Xi'er Noodle House,1.0,4.4,144,,50.0
0.4,0.3908271776538207,34.263962,-118.523009,Pi On Sunset,2.0,4.5,89,,5.0
0.4,0.3622659060879,34.2578841,-118.5239933,Noah's Ark Cuisine,1.0,4.4,110,,5.0
1.7,0.9830888309222156,34.2582607,-118.5354278,Golden Hunan Chinese Restaurant,2.0,4.6,245,,21.0
0.6,0.5373342141695895,34.26509,-118.52218500000001,Numero Uno Pizza,2.0,4.5,198,,8.0
0.7,0.5481300665802632,34.2651291,-118.5220392,En Joy Bowl,2.0,4.5,133,,9.0
0.5,0.4013941328927549,34.264562100000006,-118.52477920000001,Panda Express,1.0,4.2,143,,7.0
1.2,0.9770987439489256,34.26519879999999,-118.5159243,Ali Baba Persian Restaurant,2.0,4.3,186,,15.0
0.7,0.5076661099722609,34.2655341,-118.5250028,Pieology Pizzeria,1.0,4.4,162,,9.0
0.5,0.4108995091071487,34.2645595,-118.52416950000001,Del Taco,1.0,4.1,234,,7.0
0.6,0.4800900486537486,34.2652171,-118.52428700000002,Presto Pasta,1.0,4.5,390,,8.0
0.4,0.3706523422318405,34.25795069999999,-118.5235453,Socorro's Mexican Food,,4.0,214,,5.0
0.6,0.3943951024323932,34.2645183,-118.52537439999999,Carl's Jr.,1.0,3.8,208,,8.0
1.7,1.149433713423706,34.257583700000005,-118.5370622,Wendy's,1.0,4.2,504,,21.0
1.0,0.8267423364974571,34.2651005,-118.5177638,Frosty Queen,1.0,4.3,406,,12.0
0.6,0.5457813196646261,34.2646372,-118.521295,Jack in the Box,1.0,4.0,244,,8.0
0.7,0.4716579725576322,34.2651518,-118.5261272,Pick Up Stix Fresh Asian Flavors,1.0,4.1,142,,10.0
0.7,0.51539322620141,34.2655994,-118.5249043,Gatten Sushi,2.0,4.1,198,,9.0
3.2,2.49045820074712,34.27156009999999,-118.50136429999999,JeJe Mediterranean Grill - JeJe Chicken,,4.5,410,,40.0
1.6,1.0048503240946085,34.2570216,-118.5350797,Shik Do Rak Northridge,2.0,4.2,297,,19.0
1.9,1.2890947318573458,34.255146,-118.5373725,Gen Korean BBQ House,2.0,4.3,1027,,23.0
1.6,1.0135618614330812,34.2574815,-118.53543400000001,Presidente,2.0,3.9,343,,19.0
0.6,0.5340077346493985,34.265162,-118.52240479999999,Joe's Cafe,2.0,4.3,879,,9.0
0.4,0.3773017775859639,34.2638184,-118.5230098,Hong Kong Banjum By Paik's Noodle,,4.6,52,,5.0
0.4,0.4140990349791358,34.264233700000005,-118.5230697,Big Mama's & Papa's Pizzeria,2.0,4.6,127,,5.0
2.3,2.112634313688896,34.264939500000004,-118.5027643,Main Kitchen Cafe,2.0,4.5,247,,29.0
2.2,1.9906208731389323,34.257147700000004,-118.5040867,Rincome Restaurant,2.0,4.5,372,,27.0
0.7,0.6113894031312729,34.264703000000004,-118.5203586,"Amaseena Restaurant & Lounge, Inc.",,4.6,28,,9.0
3.1,2.1703091766094365,34.243732,-118.53631499999999,Kickin KAsian,2.0,4.5,860,,37.0
0.5,0.4013941328927549,34.264562100000006,-118.52477920000001,Salata,,4.6,233,,7.0
0.4,0.3827779469635429,34.25772,-118.52388400000001,Subway,1.0,4.0,99,,5.0
1.7,1.0300633007075697,34.258322,-118.53598600000001,Kusina Ni Kuya,1.0,4.1,44,,21.0
2.5,2.2055731219701142,34.2578441,-118.5015479,IHOP,1.0,4.2,754,,30.0
2.3,2.0918326857555303,34.259059,-118.50260300000001,Asahi Sushi,2.0,4.3,764,,28.0
2.4,2.1810932511341825,34.264342600000006,-118.50186570000001,Spice Up Thai Eatery,,4.6,75,,30.0
3.4,2.610308498772018,34.273629,-118.50132250000001,Furnsaj Restaurant & Bakery,1.0,4.8,551,,43.0
1.6,1.32665244686779,34.250033,-118.51948700000001,Pizzasaurus Rex,1.0,4.4,128,,19.0
0.6,0.572392490066481,34.265218700000005,-118.5217246,Flaming Lava Grill,,5.0,1,,8.0
1.7,1.0952533416410728,34.255843,-118.53542,Shogun Sushi,2.0,4.3,323,,21.0
3.4,2.3456016423574058,34.241743299999996,-118.5357374,PizzaRev,1.0,4.4,332,,40.0
2.2,1.9406275962415611,34.2572669,-118.50461200000001,Ocean Cafe & Restaurant,2.0,4.1,236,,26.0
2.3,2.07610204136536,34.26516029999999,-118.5032307,Lola's Baja Taco's,2.0,4.4,316,,28.0
3.2,2.3329976361140683,34.241791299999996,-118.5355313,Fresh Potato Factory,,4.5,156,,38.0
3.6,2.65289377200709,34.238994,-118.536474,Falafel Palace,1.0,4.5,345,,43.0
2.2,1.4185657916962378,34.2583163,-118.5403437,All American BBQ,2.0,3.9,85,,26.0
1.8,0.985301099564063,34.2588235,-118.53564750000001,McDonald's,1.0,3.7,720,,22.0
3.2,2.462027976038705,34.250025,-118.501962,In-N-Out Burger,1.0,4.6,1640,,39.0
1.6,1.2796014054659857,34.2495046,-118.52409660000001,Geronimo's,1.0,3.9,90,,19.0
3.0,2.0159951304472137,34.245669799999995,-118.5370086,Chi's Chinese Cuisine,2.0,4.5,430,,36.0
4.9,3.4503129201198734,34.241475,-118.554449,Claim Jumper Restaurants,2.0,4.2,954,,1.0
5.2,3.634241350178728,34.240736600000005,-118.5562962,Yard House,2.0,4.4,1460,,1.0
3.6,2.669043687476718,34.2386331,-118.5358682,Emle's,2.0,4.4,307,,43.0
5.2,3.615768733579797,34.2406881,-118.55599309999998,Wood Ranch,2.0,4.5,1112,,1.0
2.4,2.158903192701923,34.257748,-118.50208159999998,Chipotle Mexican Grill,1.0,4.1,310,,29.0
1.7,1.1794048840383362,34.25756129999999,-118.5373977,Chick-fil-A,1.0,4.4,618,,21.0
4.4,3.3058639553631384,34.274438700000005,-118.5573199,China King Restaurant,,4.2,36,,56.0
3.7,2.760211657376197,34.237635,-118.535478,Chili's Grill & Bar,2.0,4.2,1179,,44.0
3.8,2.9967819101837114,34.235194,-118.5347554,Sharky's Woodfired Mexican Grill,2.0,4.4,466,,46.0
1.6,1.327672276037846,34.250030200000005,-118.51946699999999,Jarocho Restaurant,,0.0,0,,19.0
2.4,2.1131153132037466,34.2638104,-118.5025104,El Pollo Loco,1.0,4.2,494,,29.0
2.6,2.3104660423046517,34.256721999999996,-118.500638,Baja Fresh,1.0,4.3,235,,31.0
0.9,0.41376261779939416,33.7052927,-117.78470520000002,The Wheel of Life,1.0,4.3,159,,11.0
1.0,0.6375138437871428,33.706109000000005,-117.787051,Burntzilla,1.0,4.6,346,,13.0
1.1,0.4577147389187351,33.7063869,-117.7836379,Chan Chan,2.0,4.3,184,,13.0
1.4,0.6595292871349872,33.70853579999999,-117.7824769,Caspian Restaurant,2.0,4.2,795,,17.0
1.0,0.4251241573271345,33.705771399999996,-117.7842124,L&L Hawaiian Barbecue,1.0,4.3,106,,12.0
0.9,0.4137428953684149,33.7052068,-117.7848054,Super Mex,1.0,4.2,274,,11.0
1.3,0.6094310874586719,33.708129,-117.78187220000001,Kaya Restaurant,,4.1,129,,16.0
0.9,0.4899732670900052,33.7055473,-117.7855463,Bruxie Original Fried Chicken & Waffle Sandwich,,4.4,681,,11.0
0.9,0.41555111956939694,33.705332299999995,-117.7846844,Oriental Seafood Noodle House,,4.2,88,,11.0
0.8,0.5461584091852734,33.704708700000005,-117.78691359999999,The Habit Burger Grill,1.0,4.5,523,,10.0
0.7,0.4156062071874648,33.7039663,-117.78575759999998,Annapoorna Indian Cuisine,2.0,4.1,499,,8.0
1.2,0.5389683865278696,33.707418700000005,-117.78262509999999,Boiling Point,2.0,4.2,562,,15.0
1.1,0.5495079821780228,33.7062196,-117.78566459999999,EMC Seafood & Raw Bar,3.0,4.2,677,,13.0
1.4,0.6828941883713702,33.7086855,-117.7829459,Buffalo Wild Wings,2.0,4.1,866,,17.0
2.2,0.8513155297851155,33.7050124,-117.77279479999999,Seoul Haus,2.0,4.2,265,,28.0
1.0,0.4272387583003097,33.705821,-117.784167,Spicy City,2.0,4.0,118,,12.0
1.0,0.5461266685028335,33.7058061,-117.7860788,Wendy's,1.0,3.9,282,,12.0
1.3,0.6021455309195782,33.708061,-117.781926,Tebo Pho & Tea,1.0,4.4,96,,16.0
1.3,0.6368379130438045,33.708057000000004,-117.78383670000001,Kang Ho Dong Baekjeong,2.0,4.3,592,,16.0
0.8,0.4303657374890946,33.704219099999996,-117.78580590000001,Lamppost Pizza,2.0,4.1,189,,9.0
2.6,1.8636317086462115,33.6881268,-117.77150630000001,A&J Restaurant,1.0,4.4,580,,33.0
3.1,1.7339913636250146,33.695837,-117.764693,Olive Oil Mediterranean Grill,1.0,4.3,247,,39.0
3.9,2.363718388209318,33.7227491,-117.78988770000001,Veggie Grill,2.0,4.3,379,,48.0
1.1,0.4614253997379927,33.7065499,-117.78327079999998,Misasa,,4.2,14,,13.0
0.9,0.4196696327096889,33.7050965,-117.78500990000002,Kitakata Ramen Ban Nai - Irvine,,4.4,118,,11.0
1.3,0.6280351072091607,33.7082775,-117.78219299999999,Chinese Sauerkraut Fish,,3.4,38,,16.0
4.2,2.4599737563186475,33.722347,-117.79367069999999,Hopdoddy Burger Bar,2.0,4.5,773,,53.0
2.4,1.7143079034030453,33.6974235,-117.79898229999999,Tasty Garden,2.0,4.0,328,,30.0
2.7,1.82250872707458,33.689877100000004,-117.76921270000001,Chong Qing Mei Wei Szechuan Restaurant,,4.2,139,,34.0
3.0,1.7213278761961188,33.69558789999999,-117.7649956,Tomikawa Sushi Bar Restaurant,2.0,4.1,395,,38.0
2.6,1.8239625399423272,33.688550299999996,-117.7714851,Taiko Japanese Restaurant,2.0,4.4,649,,33.0
2.5,1.7666428873286313,33.689251,-117.7712981,Wienerschnitzel,1.0,4.0,213,,32.0
1.1,0.4701415431673067,33.706683500000004,-117.7830928,Go Squared 2 Takoyaki & Okonomiyaki,,3.1,17,,13.0
2.5,1.807034376294464,33.6957218,-117.79921709999998,Pokeworks,2.0,4.4,228,,30.0
1.0,0.4223419592394253,33.705451000000004,-117.78464040000001,Koba Tofu Grill,2.0,4.0,109,,12.0
2.4,1.722696337754419,33.695976,-117.798353,Sam Woo Seafood Restaurant,2.0,4.0,496,,29.0
4.2,2.6283405635146813,33.7255355,-117.7886821,Chick-fil-A,1.0,4.6,877,,53.0
3.1,1.7448992853817298,33.6958914,-117.76453059999999,Tang 190,2.0,4.2,283,,39.0
3.1,1.8697305216372613,33.69642279999999,-117.7627787,Pho Ha Noi,1.0,4.1,170,,40.0
2.5,1.7223146861859588,33.690066200000004,-117.7707037,House Of Shabu Shabu,2.0,4.4,379,,31.0
2.5,1.8201419668916463,33.6889576,-117.7707781,Thai Cafe,2.0,4.2,366,,32.0
3.5,2.1430039338682025,33.712331400000004,-117.76151509999998,Doore Restaurant,2.0,4.0,148,,45.0
4.2,3.3581107255223586,33.6848296,-117.8108511,Urban Plates,2.0,4.5,755,,52.0
3.9,2.3562126589879906,33.7226401,-117.79001699999999,Pieology Pizzeria,1.0,4.4,400,,48.0
4.5,2.5108121071617338,33.722860499999996,-117.79366780000001,In-N-Out Burger,1.0,4.6,1734,,55.0
4.1,2.6284065248917377,33.724342799999995,-117.792852,Rubio's Coastal Grill,1.0,4.2,255,,51.0
2.6,1.847347748507577,33.689417999999996,-117.76948329999999,Kaju Soft Tofu Restaurant,2.0,4.1,85,,33.0
2.5,1.7153610179729195,33.690165,-117.7706675,Hometown Restaurant,,4.4,51,,31.0
2.7,1.834845063092748,33.6896899,-117.7692814,101 Noodle Express,1.0,4.1,259,,34.0
2.5,1.808706137813176,33.695663700000004,-117.799204,Taiwan Popcorn Chicken,,3.9,130,,30.0
4.7,3.040239973115244,33.7295993,-117.78713159999998,BJ's Restaurant & Brewhouse,2.0,4.2,960,,1.0
4.2,2.60539182550538,33.7242942,-117.7923527,California Pizza Kitchen at Tustin,2.0,4.2,391,,52.0
3.0,1.730529448924366,33.6957864,-117.7647644,Da Luau Hawaiian Grill,,4.3,173,,39.0
0.9,0.4338801490397115,33.7055896,-117.7846415,Heritage Plaza,,4.2,2059,,11.0
3.6,2.5010870087147223,33.7235216,-117.7714564,Chipotle Mexican Grill,1.0,4.1,256,,47.0
4.3,2.714486303712642,33.726363600000006,-117.78854340000001,Urban Plates,2.0,4.4,403,,53.0
2.7,1.8940824703825547,33.6878033,-117.7715243,Shik Do Rak Restaurant,2.0,4.2,539,,34.0
3.6,2.4045869308408365,33.7229309,-117.7725128,Jack in the Box,1.0,4.0,235,,46.0
3.5,2.178406016398364,33.7131726,-117.7616821,Beijing Restaurant 同顺居,2.0,3.9,138,,45.0
2.6,1.8023041784748488,33.6960666,-117.79935079999998,Tasty Noodle House,,4.1,165,,31.0
0.7,0.3014103232798652,34.1870726,-118.45714029999999,Lola's Chicken,2.0,4.3,376,,9.0
0.7,0.305465930494066,34.18691679999999,-118.45694650000002,Mr. Pizza,1.0,4.8,122,,9.0
1.0,0.6874728696179799,34.187524700000004,-118.4479801,Chin Garden Restaurant,,4.6,57,,12.0
1.2,0.7661734701030983,34.185121,-118.4484801,Villaggio Deli & Restaurant,1.0,4.7,120,,15.0
0.8,0.6679587484289569,34.191354499999996,-118.4483682,El Criollo Cuban Restaurant,1.0,4.5,109,,10.0
1.2,0.860779097680554,34.1870692,-118.446178,Nazca Peruvian Restaurants,2.0,4.5,196,,15.0
1.3,0.7813251518506329,34.184315399999996,-118.44909679999999,Los Tres Hermanos Restaurant Bar and Grill,2.0,4.3,524,,16.0
2.5,1.839734755689836,34.201987599999995,-118.4679057,Fresh Grill Mediterranean,,4.5,193,,33.0
1.4,0.8965045065640239,34.182982,-118.449009,Farm Table Co.,2.0,4.3,401,,17.0
0.8,0.4577666136298681,34.18687630000001,-118.4510832,Original Tommy's,1.0,4.3,457,,10.0
0.7,0.6318882383586549,34.1902297,-118.44839920000001,Yoshinoya Van Nuys,1.0,4.1,239,,8.0
0.9,0.5830444811629291,34.188128000000006,-118.44896670000001,Machu-Picchu Peruvian Restaurant,2.0,4.3,259,,11.0
0.6,0.3298667251283017,34.1870094,-118.4527905,Socorro's Restaurant,1.0,4.1,276,,8.0
1.7,1.349040192609227,34.2002848,-118.4491092,Sizzler,2.0,4.2,729,,21.0
0.2,0.2508326230360128,34.1907393,-118.4531317,Elote lady,,4.1,21,,2.0
0.9,0.6204279176196482,34.188207399999996,-118.4485328,Takatis Peruvian Restaurant,,4.2,250,,11.0
1.1,0.6957101771800742,34.1862174,-118.4485365,Puro Sabor Peruvian Restaurant,2.0,4.4,207,,14.0
0.8,0.6776826341157733,34.1936725,-118.4501136,Mariscos El Amateco,,5.0,19,,10.0
1.8,1.5331037614170002,34.2020693,-118.4490753,The Habit Burger Grill,1.0,4.5,1202,,23.0
1.4,0.8592324261514435,34.183449200000005,-118.44896979999999,Happy Dogs,2.0,4.3,104,,16.0
0.3,0.1927286967277934,34.1909243,-118.45469879999999,Jaliz Cuisine of East Africa,1.0,4.8,95,,3.0
0.8,0.4089071414885653,34.186271399999995,-118.45779640000002,Cemitas Don Adrian,,4.5,357,,10.0
1.8,1.108861373047914,34.17927529999999,-118.4545378,Bill's Burgers,1.0,4.6,497,,22.0
0.7,0.5767577093783051,34.1941274,-118.45724270000001,Marisco Las Islitas,2.0,4.0,403,,9.0
1.5,0.9598259582277382,34.1877591,-118.4654446,Sam Woo BBQ,2.0,4.4,478,,18.0
1.1,0.7472254765561943,34.1869645,-118.4475165,Golden Sky,2.0,4.3,171,,14.0
0.7,0.6134397731640903,34.1942488,-118.4579429,Lechon De Manila,,4.5,56,,9.0
2.3,1.6488387754730978,34.2002831,-118.46711909999999,Costa Grande,1.0,4.5,409,,28.0
1.0,0.8605028532288224,34.1938789,-118.44767979999999,Divas Tacos,1.0,3.9,184,,13.0
1.4,0.8709671882357256,34.1833054,-118.44897479999999,Subway,1.0,4.0,90,,17.0
1.4,1.0105597483579107,34.1864463,-118.44470590000002,Picka Rico,1.0,4.5,148,,18.0
0.2,0.25433201799097344,34.1908267,-118.45317820000001,Best Tacos de barbacoa,,0.0,0,,3.0
1.8,1.5189194065879603,34.193621,-118.4395235,Mom's Bar Be Cue House,2.0,4.5,342,,23.0
2.0,1.275433186424337,34.1826714,-118.4665351,Wendy's,1.0,4.1,916,,25.0
1.1,0.8744869371336684,34.195288,-118.44909399999999,Jack in the Box,1.0,4.1,423,,13.0
1.8,1.1842706354049597,34.1844378,-118.4666585,Oriental Kid,1.0,4.2,47,,22.0
1.6,1.0964972062439569,34.187368299999996,-118.4668686,Phở 999,1.0,4.4,870,,20.0
2.4,1.7607502532962518,34.20160070000001,-118.4671197,Kebab Halebi,2.0,4.6,309,,31.0
2.3,1.883045213467496,34.172354799999994,-118.45681599999999,My Fish Stop,,4.4,72,,29.0
0.6,0.33054769529832395,34.187064899999996,-118.45270570000001,Aplus Fast Food Planet,,4.8,5,,8.0
1.0,0.6263169783384167,34.1864891,-118.44921699999999,We Want Tacos Cafe,,3.9,20,,12.0
2.0,1.23839155960511,34.1825032,-118.46588919999999,Fatburger,2.0,4.3,617,,25.0
1.6,1.0781116533367074,34.187446,-118.466683,Subway,1.0,4.0,130,,20.0
1.7,1.3828506456900873,34.2000404,-118.44772150000001,Ayce Gogi,2.0,4.5,991,,22.0
3.4,2.6213765979946,34.200922399999996,-118.430411,NORMS Restaurant,1.0,4.2,4418,,43.0
2.2,1.8840041888979535,34.205188899999996,-118.44826850000001,Pizza Man,,4.4,91,,28.0
1.4,1.0848726827492323,34.19315039999999,-118.465966,Wingstop,2.0,3.9,464,,18.0
2.5,1.936509088026572,34.1718555,-118.45653109999999,Bamboo Forest Chinese Restaurant,1.0,4.3,93,,31.0
1.6,1.2145093478537723,34.19422100000001,-118.4669108,Restaurant Nosotros Los Pobres,,4.4,7,,20.0
3.4,2.3837454790954555,34.179265,-118.43222079999998,Barone's,2.0,4.4,702,,42.0
1.5,1.3628193145725545,34.201392,-118.457035,Socorro's Restaurant,1.0,4.1,448,,19.0
2.4,1.8820232058675783,34.1723402,-118.45641090000002,Napoli's Pizza Kitchen,2.0,4.6,142,,29.0
2.2,1.8732319377719584,34.205085,-118.4482652,O K Chinese Restaurant,1.0,4.4,356,,29.0
1.6,1.1077617110851148,34.1861283,-118.46660609999999,Jack in the Box,1.0,4.0,587,,20.0
2.5,1.8043994594026316,34.201664,-118.4677751,Poke Rainbow,,4.7,169,,32.0
1.1,0.7321176844341689,34.186525200000005,-118.44790829999998,El Rincon Salvadoreno Restaurant,,3.7,3,,14.0
2.3,1.9596128286252157,34.1944455,-118.47551570000002,La Piedad Mexican Restaurant,,4.4,61,,30.0
2.5,1.8532660637332945,34.2018963,-118.4682655,Kinnara Thai,2.0,4.3,231,,33.0
2.3,1.9578639319145588,34.194375,-118.475522,Meson Criollo Restaurant,2.0,4.3,552,,30.0
2.8,2.1071995982258587,34.1711293,-118.4483962,Four 'n 20 Restaurant Grill,2.0,4.3,396,,34.0
1.3,0.7775235683574814,33.9755278,-117.8381449,Pho Hana Restaurant,1.0,4.4,100,15.0,
1.3,0.7318820333510849,33.97596970000001,-117.8378909,Tea Rush,1.0,4.3,31,15.0,
1.3,0.7888054283490816,33.9754168,-117.8382473,Curry India Bistro,2.0,4.3,232,15.0,
1.5,0.8798970227068875,33.974638,-117.8377797,Young Dong Tofu House,2.0,4.4,147,17.0,
3.4,2.1759174789152134,33.9975581,-117.85412659999999,Mr Poke,,4.7,160,40.0,
4.1,3.5430426048357213,34.0026619,-117.80935330000001,King Bap,1.0,4.7,95,52.0,
4.5,2.9791087461953447,33.9856424,-117.87117279999998,Casa Alvarez,2.0,4.5,322,55.0,
2.9,2.328102951293568,34.0026394,-117.84589129999999,Farmer Boys,2.0,4.3,699,34.0,
2.6,2.0439580783858617,34.000498,-117.843455,In-N-Out Burger,1.0,4.5,821,30.0,
1.5,0.8798970227068875,33.974638,-117.8377797,Flame Broiler,1.0,3.8,25,17.0,
2.7,2.01295033167469,34.000421700000004,-117.8419622,Mansun Japanese Restaurant,2.0,4.3,192,31.0,
2.5,1.9851424606473675,34.000021399999994,-117.843069,Jasmine Mediterranean & Persian Cuisine,2.0,4.3,368,29.0,
4.7,3.0673274368539527,34.0061091,-117.821928,Chili's Grill & Bar,2.0,4.2,715,58.0,
4.4,2.9894633652857348,33.9883074,-117.8707402,OoToro Sushi Japanese Restaurant,4.0,4.5,215,53.0,
3.7,2.8380386816160628,33.9971904,-117.8139362,Rolling Spicy Kimchi,1.0,4.5,66,46.0,
1.5,0.8954570834949281,33.9744705,-117.8380384,Kokio Chicken,,3.7,87,17.0,
3.5,2.188313049437748,33.997275,-117.854735,BBQ STOP,2.0,4.5,502,41.0,
3.6,2.2348400924794105,33.9974777,-117.85522040000001,Myung Dong Tofu Restaurant,2.0,4.3,147,42.0,
3.8,3.2642601633011066,33.9999485,-117.8106364,Mr. G's Pizza - Diamond Bar,1.0,4.7,290,48.0,
2.7,2.020008118860166,33.9995727,-117.8464969,Jack in the Box,1.0,3.9,352,31.0,
2.6,1.9479968314377265,33.999234799999996,-117.84524540000001,Del Taco,1.0,4.0,333,29.0,
3.8,3.0933082270523444,33.9998535,-117.81288789999999,Wok Restaurant,1.0,4.4,60,47.0,
4.1,3.469680320289611,34.00150670000001,-117.8092633,Kyala Sushi & Japanese Cuisine,2.0,4.4,99,51.0,
2.5,1.8609521058265763,33.998389,-117.8453413,IL Poom,2.0,4.1,120,29.0,
